question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.018447
2,c,c,c,c,c,0.018447
3,d,d,d,d,d,0.018447
4,b,b,b,b,b,0.018447
5,c,c,c,c,c,0.018447
6,b,b,d,b,b,0.018447
7,a,a,a,a,a,0.018447
8,c,c,c,c,c,0.018447
9,d,d,d,d,d,0.018447
10,a,a,a,a,a,0.018447
11,a,a,a,a,a,0.018447
12,a,a,a,a,a,0.018447
13,c,c,d,c,c,0.018447
14,b,b,b,b,b,0.018447
15,d,d,d,d,d,0.018447
16,a,a,a,a,a,0.018447
17,"a, c","a, c","a, c","a, c","a, c",0.018447
18,"a, d, e","a, b, d, e","a, b, d, e","a, d, e","a, b, d, e",0.018447
19,d,d,d,d,d,0.018447
20,c,c,c,c,c,0.018447
21,b,b,b,b,b,0.018447
22,d,d,d,d,d,0.018447
23,b,b,b,b,b,0.018447
24,c,c,c,c,c,0.018447
25,a,a,a,a,a,0.018447
26,b,b,b,b,b,0.018447
27,a,a,a,a,a,0.018447
28,c,c,c,d,c,0.018447
29,a,a,a,a,a,0.018447
30,d,d,d,d,d,0.018447
31,"a, c, d","a, c, d","a, c, d","a, c, d","a, c, d",0.018447
32,d,d,d,c,a,0.018447
33,b,b,b,b,b,0.018447
34,d,d,d,d,d,0.018447
35,b,b,b,a,b,0.018447
36,d,d,d,d,d,0.018447
37,d,d,d,d,d,0.018447
38,d,d,d,d,d,0.018447
39,a,a,a,a,a,0.018447
40,"b, c","b, c, d","b, c",b,"b, c",0.018447
41,b,b,b,b,b,0.018447
42,b,b,b,b,b,0.018447
43,b,b,b,b,b,0.018447
44,b,b,b,b,b,0.018447
45,c,c,c,c,c,0.018447
46,d,d,d,d,d,0.018447
47,d,d,d,d,d,0.018447
48,a,a,a,a,a,0.018447
49,d,d,d,d,d,0.018447
50,d,d,d,d,d,0.018447
51,a,a,a,a,a,0.018447
52,b,b,b,a,a,0.018447
53,c,c,c,c,c,0.018447
54,d,d,d,d,d,0.018447
55,b,b,b,b,b,0.018447
56,b,b,b,b,b,0.018447
57,c,c,c,c,c,0.018447
58,"b, d",b,"a, b, d",b,b,0.018447
59,b,b,b,b,b,0.018447
60,a,a,a,a,a,0.018447
61,d,d,d,d,d,0.018447
62,d,d,d,d,d,0.018447
63,b,b,b,b,b,0.018447
64,"b, d",d,d,d,d,0.018447
65,c,c,"c, d",d,"b, c",0.018447
66,b,d,d,b,b,0.018447
67,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.018447
68,"a, c, d","a, c, d","a, c, d","a, c, d","a, c, d",0.018447
69,"b, c","b, c","b, c","b, c","b, c",0.018447
70,"a, c",c,"a, c","a, c",a,0.018447
71,"a, b, c, e","a, b, c, e","a, b, c, e","a, b, c, e","a, b, c, e",0.018447
72,d,d,d,d,d,0.018447
73,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.018447
74,a,a,a,a,a,0.018447
75,b,b,b,b,b,0.018447
