question_id,question,answer
1,"[Question]: 2.  Battery life has been measured as normally distributed with a mean  equal to 150 hours and a variance of 400 hours. Find the B10 life.

[Choices]: [a] 128.1 hrs  | [b] 124.4 hrs  | [c] 122.6hrs | [d] 110hrs",b
2,"[Question]: 3.  Failure rate data is acquired from MIL-HDBK-217 for reliability  modeling of a new circuit board design. The failure rate for the entire  circuit board is acquired by summing the MIL-HDBK-217 failure rates for  each component on the circuit board. The most likely assumptions made by  the engineer for this analysis are that individual component failure  rates are _____ with time and are modeled in a ______ configuration. 

[Choices]: [a] Constant; series  | [b]  Decreasing; series | [c]  Increasing; series | [d]  Constant; parallel",a
3,"[Question]: 4.  Each of the following test acceleration models is most often  used with only one varying stress type, except for which?

[Choices]: [a] Arrhenius | [b] Coffin-Manson | [c] Inverse Power Law  | [d] Eyring",d
4,"[Question]: 6.  Suppose that six bad golf balls get mixed up with eight good  golf balls. If two balls are drawn simultaneously, what is the  probability that both are good? 

[Choices]: [a]  0.1563  | [b]  0.3077 | [c]  0.2857 | [d]  0.3956",b
5,"[Question]: 7.  Which of the following choices is the best type of control chart for  depicting the average number of defects found in a particular make and  model of a refrigerator?

[Choices]: [a]  X-bar and R-chart | [b]  np chart | [c] A normal curve  | [d] U chart",d
6,"[Question]: 8.  Sample Variance of resistance for the 20-unit sample of electronic  components was 4 ohms. 95% confidence interval for the population  variance is: 

[Choices]: [a] 2.31  $ \leq $   $ \sigma $ 2  $ \leq $  8.53  | [b] 2.93  $ \leq $   $ \sigma $ 2  $ \leq $  10.43 | [c] 2.52  $ \leq $   $ \sigma $ 2  $ \leq $  7.51 | [d] 3.18  $ \leq $   $ \sigma $ 2  $ \leq $  9.21",a
7,"[Question]: 9.  A product has been produced for many years with an average yield of 85%  (That 85% is a lower 95% confidence limit). Ten batches were produced  using a new raw material with a sample average yield of 86% and a  standard deviation of 1%. At the 95% confidence level, the data indicate  the average yield is: 

[Choices]: [a] less than the sample average yield of 86% and is statistically different  | [b] greater than the sample average yield of 86% and is statistically different | [c] greater than the sample average yield of 86% and statistically there is no difference | [d] less than the sample average yield of 86% and statistically there is no difference",a
8,"[Question]: 10.  50 samples of an electronic component selected at random at incoming  inspection measures an average resistance of 10 ohms and a standard  deviation of 2 ohms. 95% confidence interval for the population mean is:

[Choices]: [a] 9.53 $ \leq $   $ \mu $  $ \leq $  10.47 | [b] 8 $ \leq $   $ \mu $  $ \leq $  12 | [c] 6 $ \leq $   $ \mu $  $ \leq $ 14  | [d] 9.43 $ \leq $   $ \mu $  $ \leq $  10.57",d
9,"[Question]: 1. Use the exponential distribution with MTTF=50,000 hrs.. What is the time to 10% failure?

[Choices]: [a] 5000 hrs  | [b] 5268 hrs   | [c] 5450 hrs | [d]  5333 hrs",b
10,"[Question]: 3. You are asked to construct a Zero failure test for a redesigned ball bearing(   $ \beta $ =2.5) that the design folks believe should have an    $ \eta $ =1000hrs.  Program Mgmnt wants you to use only 5 tests. How long  should you test these five samples to be 90% confident that the ball  bearing design is better than 1000hrs? 

[Choices]: [a] 733hrs,   | [b] 851hrs | [c] 975hrs | [d] 1500.hrs",a
